Gene1,Gene2,Label
OR6N1,KIF5C,0
FZD3,CARD16,0
CEACAM8,PTGDR2,1
IL24,IL17A,1
GMPR,OR2I1P,0
SIRPA,MMP13,0
ITGA5,VTN,1
SPG20,C3orf33,0
EFNB3,PNMT,0
PRDX1,CD81,1
IP6K3,NECTIN2,0
PCDH1,PCDH8,1
NEUROD2,NSUN6,0
CAPNS1,CDC123,1
MAB21L2,SNRNP200,0
BCL2L10,KCNRG,0
IFNL1,KDM5A,1
GPR19,UCN,1
MYL1,ACSBG1,0
HBG2,ARF4,0
MERTK,IK,1
MRPL55,KCNU1,0
NAMPT,FGF16,1
DEFA1,DPP4,1
RTN3,FABP9,0
YKT6,EDC4,0
ABCC5,CCL16,0
TREML4,GDF6,0
HIPK3,BIRC3,1
CTPS2,KLHDC3,0
RS1,LY6D,1
CCL21,COL16A1,0
OR6B2,PFN1,0
LSM6,DHX8,1
C1orf61,HHLA2,0
CYP2A6,SEPP1,0
AHR,SMAD7,1
RXRA,NRIP1,1
DIS3L2,TDH,0
MIR128-1,DAB2,0
ITIH4,GH1,0
NR3C1,USF1,1
BTK,YWHAE,1
AREG,PDZK1,1
CWC27,HRAS,0
NRF1,SMARCA5,1
CHRNA4,SLC6A5,1
ALOX12B,LRP2,1
OR4B1,TLN1,0
CHRM5,C21orf2,0
ARHGDIB,ACTG1,1
POU6F2,CALR,1
SCN11A,TAZ,0
KLF9,BLZF1,1
MICB,MAPK9,1
ATG4A,BCL2L12,0
ROBO4,IGLV2-14,0
ADRA2A,IL6,1
REG3G,PCGF6,0
GABPB1,NFYC,1
PLP2,IGHV3-13,0
CNTN4,NRGN,1
CAPNS1,OLFM4,0
LTB4R,AXIN2,0
ALDOA,MCCC1,0
ARAF,DIAPH2,0
DNAJB6,ACTR5,0
GBP2,LIMK1,0
VTI1B,APPL1,1
PEG10,ZFYVE27,0
MRPL13,FLT3LG,0
PURA,AIF1,0
ALOX15B,CLIC4,1
KLF12,KLF10,1
EIF4H,EIF3G,1
KLRB1,CD1B,1
RNF111,MPP7,0
KCNQ5,SYT5,1
GLIPR1,MIR125B2,0
PYY,ARAP3,1
KITLG,PYY,1
KCNK7,KCNMB3,1
RBM26,VKORC1L1,0
CHRM1,PDF,1
IVNS1ABP,TRAT1,0
CRH,CRYGC,0
APLP1,ADRB1,0
PLAGL1,STK11,1
SSTR3,TGFB2,1
SERPINC1,DHCR24,0
NLRP7,PI4K2B,0
FSHR,DYNLL1,1
ACHE,RPA3,1
MARK4,FEZ2,1
KIR3DL2,TRIM31,0
EDNRB,GABRA6,0
DNAJA2,STAMBP,1
PIGU,NTHL1,0
EFNB2,CCL4,1
WASF3,GEMIN5,1
MED30,MED26,1
MERTK,IFNB1,1
ETS1,NF2,1
S1PR1,GRM1,1
TUBB8,EEF1AKMT1,0
INSL4,RECQL4,1
MAEA,INSL4,1
H1F0,B4GALT1,0
DPP4,GTPBP1,1
HOXA10,AFF3,1
STAT1,KLF5,1
PDE6G,RBP3,1
RACK1,BAG6,0
SMURF2,UBE3A,1
HMBOX1,CHCHD1,0
TRIM9,PIK3CB,0
ADRA2A,GPR12,1
CUTC,PHGDH,0
HTR7,TSHR,1
SNAPC2,FUBP1,1
MCOLN2,MAG,0
GNB3,TBXA2R,1
TBC1D10B,EIF6,0
ATP6V0B,VPS26B,0
ACSL1,PSEN1,0
UBE2E1,UBE4A,1
BMP8A,FGF8,0
GAS8,NOTCH2,1
CPSF4,STAB1,0
IGLV2-23,IDS,0
VPS13A,CYP2R1,0
RBMY1A1,DDX54,1
PPP4C,KCNK7,0
CALHM1,F2,0
NEUROG1,SMARCD1,1
ACHE,CDC25A,1
PBX3,NHLRC3,0
ACOT1,PIGU,0
EVL,SLC6A14,0
KIF15,ZEB1,1
SYK,FOXN1,1
AIF1,IFNA2,1
FBXL3,P2RX1,0
CXXC1,SP3,1
ABCG2,STX8,1
MST1R,VCL,1
BRPF3,EGFR,0
GPR18,HTR2A,0
CALCA,TNFSF8,1
GNG10,AASS,0
SUSD4,SULT1C4,0
STK26,SNX18,0
TPX2,CD70,1
PROK2,EVI5,1
AIFM3,IFNB1,1
LAMA4,GALK2,0
RAPGEFL1,RXFP3,1
CSF3R,TIAL1,1
PREP,BMP1,1
COX6A2,APLF,0
TBX3,CD81,1
TUBGCP5,KLHL15,0
TBC1D8,ARHGEF4,0
SLC35A1,METAP2,1
EXOSC8,PTPN9,0
EPHB2,CRX,0
ACKR4,LGR5,1
PAX6,HPCAL4,1
SSTR5,CNOT8,1
RPL3,RRBP1,1
CSH1,ZNHIT6,0
DVL3,SOD1,1
MAPRE1,ZFP36L2,1
OR10A5,PTGDR2,0
ICAM4,GHRH,0
CXCR6,SGF29,0
COL4A3,KLF4,1
HTN3,TMEM119,0
GPR42,ACKR4,1
CCT8L2,RRBP1,0
ALDH3A2,MAPK8,0
C1orf61,WDR36,0
AKAP1,SF3A1,0
MAD2L2,ORC2,0
CHRM3,SEMA5A,1
NOTCH2,WARS,1
EGFR,PDGFRA,1
GDF11,SLIT2,1
GPR39,GPR52,1
IFNAR1,IL12RB2,1
TMOD2,CACNA1A,1
VCX3A,EP300,0
GJC1,LIMA1,0
TFAP2C,CIAO1,1
ALDH2,ALDH3B1,1
CSF3R,IFNL1,0
FGF11,GDF5,1
F7,F2RL3,1
SPTSSB,GORASP1,0
SUPT4H1,THRAP3,1
IL15,REG1A,1
ZYX,FGF17,1
TAF6L,CCDC91,0
TCF4,KLF7,1
CDK6,SYK,1
PFN1,CSF2,0
CXCL10,NPR2,1
DAPK3,IKBKG,1
SLC6A18,TREML4,0
DDX41,SERPINF1,1
IL6,STMN3,0
MDFI,ANXA7,0
HSPA5,OMD,0
SFMBT2,MACF1,0
CLNK,ANKRD28,0
BCKDK,TOP3A,0
CYP4F11,ZNF540,0
TAOK1,KIF20A,0
AQP1,AQP7,1
ANAPC4,UBE2K,1
OR5K2,KRT5,0
WISP1,ECE2,1
SSU72,PDHA1,0
TRIM3,MICU1,0
KRT80,TRAPPC11,0
ILF3,PELP1,0
RAD51B,RAD54L,1
MTIF3,PAIP2B,0
CITED2,BLZF1,1
FTL,EGF,0
ANXA5,ADA,0
LRRC26,INPP5D,0
EDAR,MEGF10,0
POU3F2,CDC123,1
AK4,PRPS1,0
SMPX,SPON2,0
GNRH2,IQGAP2,0
DDX11,E2F5,1
KRTAP5-8,TIMM8A,0
CNTFR,FGF17,1
OR51A7,LYNX1,0
RRAGA,KLRA1P,1
TENM1,CCR5,1
DNAJA1,ERO1B,1
S100A13,BORCS5,0
AMFR,CAPZB,1
GC,COL11A2,0
PITX2,TNF,1
AGER,TNFRSF25,1
HTATSF1,MYCN,1
HNF4A,SMARCD1,1
PRELID1,CDH9,0
RHOB,ARHGAP5,1
FCGR3A,ZEB1,1
OR2AT4,OR8G1,0
RBP3,WIPF2,0
NPFFR1,ALDH3A2,0
RPS4X,CD81,1
DBF4,ARHGEF1,1
OR2AJ1,AK3,0
SF3B2,GRP,0
CSF3R,INHBA,1
PRIM2,ALDOA,0
CSTF3,RABGGTA,0
FANCA,IGFBP3,0
PDCD11,PPP1R37,0
AMPH,MSL2,0
TCP10L,TBC1D10C,0
SF3B3,SNRPN,1
CRNN,HNRNPUL1,0
NEU3,KPNB1,0
APLF,KCNJ14,0
TNFRSF11B,RPS6KA3,1
LIPA,CANT1,0
PSG1,PSG11,1
LYST,LBP,1
BRD4,HSD17B12,0
ORC3,AOAH,0
ZNF219,PLK3,0
INHBA,BMP6,1
COL13A1,DCST1,0
KCND3,KCNK5,1
GAB1,CD70,1
GPNMB,UTP20,1
INSL3,TNFSF8,1
CDX1,PAX6,1
PTCH1,ZPR1,1
FKTN,ITGA11,1
FAM170A,FOXA2,0
MTNR1B,SYN2,1
FGF1,LZTR1,1
FPR2,CXCR1,1
ADORA2B,GPR37,1
AES,ARVCF,1
POU6F2,WFS1,1
CEBPE,TNFRSF18,0
CTSG,MMP3,1
KIR2DL3,GPX2,0
TSPAN4,WAS,1
CERS1,KRTAP5-6,0
HGFAC,PGC,1
GHRH,PGR,1
OR2Y1,DCTN4,0
NFKB1,PAX2,1
PDIA5,SURF1,1
OR1M1,RASGRP3,0
FOSL1,FGF18,1
SEPSECS,ANXA7,0
PKP2,CDKN2B,0
BATF,KLRA1P,1
MNDA,HDAC6,0
HLX,PCOLCE,1
FDFT1,MFAP4,0
CNTFR,DRD2,1
PSG5,TAC3,1
SMC2,F10,0
IGHV4-59,PCDHA11,0
MBL2,GALC,0
DPYSL4,ADORA1,1
MSRA,LCMT1,1
PCDHB16,ARPC3,0
GJB6,KCNE1,1
KHDRBS1,STK11,1
CHD4,KAT2A,1
DUSP15,GEMIN4,0
KRT32,GALNT13,0
EPHA5,SLF2,0
ARPC1B,VIM,1
ACOT8,LDLR,1
SMNDC1,CD70,1
IFNLR1,BRS3,0
MST1,MIR345,0
MGLL,S100A8,1
TINF2,RXFP3,0
ATRX,CALR,1
PTMS,SPIDR,0
GJB2,GRB2,1
SCMH1,SOX13,1
EIF3G,TCIRG1,0
RASSF1,COCH,0
PSPN,BTD,1
PTGDR2,BDKRB2,1
NOB1,RPP14,0
MIR26A1,TBK1,0
C21orf2,NADK2,0
NUDT3,PTHLH,1
PCDHB16,CBLN1,1
PQBP1,MAFA,1
ORM1,CCL21,1
ABCC5,TSR3,0
MIR328,SASS6,0
OSGIN1,MTAP,0
FGD4,CXCL3,0
DEFB128,IL23A,0
ANAPC5,PRKG2,1
NFRKB,FEV,1
OST4,MIR425,0
IFNA2,MPL,1
CDCA2,KISS1,0
BSCL2,PYGB,0
FBXL4,FBXO2,0
GJC1,PLET1,0
F2R,IAPP,1
SDS,C2orf44,0
TUBGCP6,ST6GALNAC2,0
P2RY11,OR51I2,0
CHRM3,NTRK2,0
NECTIN4,TOM1L1,0
INHA,MLN,1
NONO,SNRPA1,1
CSN2,NPY,1
APBA2,PCDHAC1,1
GABRA2,TFPT,0
WFDC2,ATG4B,1
CAP2,CLASP2,1
DCD,IGLV3-25,0
NPY,RYR1,1
PEPD,ANPEP,0
HSD17B2,CXCL17,0
CDCA5,FBXW9,0
MYO7A,DMGDH,0
ADAP1,GOLGA7,0
AGER,IL6,1
ZP2,MRPL3,0
COX17,ACAA1,1
RPS6KA2,NEK11,1
ADAM10,GAMT,0
COMMD1,NAP1L1,0
RNLS,SLCO2B1,0
FGF1,ADAMTS9,1
IRX2,KIF5C,0
IL15RA,HRASLS5,0
PROS1,C4BPB,1
OR10H2,NDUFS5,0
CHMP1A,CYTH3,1
GJA8,SLC16A2,1
OR2W1,ING2,0
SRSF7,DDX23,1
SOD1,FZD9,1
NAP1L1,CLEC11A,1
ANP32E,UPK1A,0
ACOT8,FCN2,1
ANKRD9,KRT78,0
CLEC4A,BAG1,1
LALBA,TEK,1
IL17D,CPEB3,0
AGGF1,HEXA,0
TMEM86B,OR13D1,0
PHLDA1,CARNS1,0
KERA,ASAH1,0
ALOX15,ORM1,1
KAT2A,PBRM1,1
SNF8,BLZF1,1
PACS2,IGKV1D-33,0
ERCC2,CRX,0
CLN5,SIX1,0
DPAGT1,PDE6G,0
FAS,STK16,1
POMT1,SPDEF,1
AK7,GSG2,0
HTR1D,ATXN3,1
ATF6,NRF1,1
GALM,ACSBG1,0
SGCA,DYSF,1
MATK,CCND3,1
GCNT2,RPS4X,1
CSN3,RPA4,0
GRIK4,SCN2B,1
SPINT2,CCL5,1
COLEC10,DIAPH2,0
KRTAP23-1,TUBB8,0
IL25,DEFA6,0
PIK3CB,CCL16,1
ADAP1,ALKBH1,0
CST6,WNT2B,1
HDAC5,CHST2,1
CHD4,OR13C8,0
UNC13B,PLAGL1,1
ASTL,ANKRD17,0
ANXA1,VCL,1
FAT1,IL32,1
NRF1,SMARCA2,1
HNRNPUL1,COQ3,0
ANXA1,STC1,1
MAP3K11,TSPY1,1
PTK2B,VIPR1,1
RBM11,FGB,0
MRPS18B,ORC4,0
GJB2,TECTA,1
CHD3,KAT2A,1
MXD1,BUB1B,1
FGF11,LHX1,1
SLC25A13,GJB2,1
AKAP9,CHRNA4,1
DNM1,CRTC1,0
IFNL1,ADAMTS1,1
EDA,ZBTB7B,1
COL4A3,OSMR,1
SERPINF1,PIM1,1
TRHDE,CCL24,1
RAB1B,CDH5,0
DSCAM,DOC2A,1
CD96,HAMP,1
ST8SIA4,SERF1A,1
MAEA,TYRO3,1
CANT1,GPR89B,1
SEMA3C,GBP2,1
CEBPA,CEBPB,1
KHSRP,DDX23,1
PLA2G4E,GORASP1,0
MPHOSPH8,MMAA,0
SSH2,ARHGEF17,1
MRPS28,WDR3,0
CHRM3,EHF,1
FAF1,CACNA1B,0
TBX1,TAZ,1
RHOQ,SLC47A2,0
BCAS2,SMN1,0
CSF3R,LRRTM3,0
ALDH3B2,MGST3,1
PTPRU,PSTPIP1,1
CRTC3,ADAM8,0
HOXB5,NOTCH3,1
TMEM138,NUDT16,0
CDK6,OSMR,1
FKBP1A,METAP1,0
HOXC4,MRPL10,0
OR10G8,WTIP,0
UHRF1,TAL1,1
LRMP,METAP1D,0
ANXA5,CCL2,1
CARHSP1,JAK2,1
CHST4,IGSF6,1
CCL27,KLF10,1
ABCA12,SNAPC5,0
OPCML,GCG,0
RCAN3,PITX1,1
CHD4,MYF6,1
DIO1,LOC100996750,0
ZBTB49,FUCA2,0
PARP1,POU2AF1,1
GPR15,RASD1,1
SLIT1,MYL12A,0
BMP2,CPA3,0
PKIA,ACOT9,0
RHOXF1,C9,0
CDX2,NFE2L2,1
PTK2B,FXR1,1
XIAP,CDK1,1
FGF12,MERTK,0
MNDA,EDN2,0
MNAT1,SMARCA2,1
IGF2BP3,DYNLL1,1
ST8SIA5,STAG2,0
PLAGL1,CIDEC,1
FZD8,OSBPL9,0
EFEMP1,SIX3,1
SLC17A3,ETHE1,0
FKTN,FGF11,1
FTH1,NME2,1
KCNJ10,USP39,0
RBM38,DMGDH,0
TACR2,KCNK5,1
IL17A,RHOT1,1
NFYC,SUFU,1
KLRC2,KLRC3,1
LCK,STAT1,1
KCNQ5,TIMM8A,0
SSX2IP,COL7A1,0
CEPT1,ELL3,0
MNT,IVNS1ABP,0
HDAC5,SPDYC,1
ACTN3,SDCCAG3,0
CYB5R1,CARD16,0
SIAH3,ICAM1,0
TNK2,CD80,1
PIM2,ACHE,1
GLI3,MMP13,0
MME,ADAMTS9,1
POU4F1,KLF9,1
EHMT1,HDAC10,1
POMC,CROT,1
RFFL,STX6,0
CYBB,CLEC2B,1
HSF2BP,RIOK1,0
PIM2,TAL1,1
SNX11,CYP4F8,0
GSS,NINJ2,1
DAPK2,TRAF3,1
HSD17B4,MGMT,0
KPNA2,RAB3IP,0
RBM14,SUPT5H,1
CD300LD,INCA1,0
NUDT3,ASH1L,1
MMP21,TMEM14A,0
HIC1,ZNF282,1
PRDX2,CALR,1
DUSP4,OR6X1,0
ADHFE1,ILF3,0
GDF15,FGFBP1,1
PCK1,ESR1,0
S100B,CDC16,1
TYSND1,BMP5,0
NAMPT,NMB,1
BBS9,REXO2,0
ADCYAP1,P2RY11,1
CAMK2N1,GCHFR,0
ALDH3A1,C9,0
E2F1,ZNF346,1
CXCR4,TNFSF9,1
ASPG,FAAP20,0
TBX2,TIMP1,1
CEBPA,DRG1,1
OPTC,IGSF3,0
DNTT,SMG9,0
MECOM,TGM3,0
IGF1R,SLC26A4,0
KLHL7,SSX2IP,0
MGLL,TACR1,1
NR2F2,BRIP1,1
NALCN,TTLL5,0
AVIL,FEZ2,1
RUVBL2,CCT6A,1
OSBPL1A,HSD17B6,0
OR5D14,CKB,0
CYB5R4,PPIP5K2,0
ACOT11,PACSIN1,0
ATP8B2,NKX6-3,0
DNAJC13,IGKV1-39,0
MOG,OR5K1,0
IRF3,SMAD3,1
GAGE8,ARHGAP9,0
KAT2A,TBX3,1
CNTFR,MYLIP,1
CYSLTR2,GC,0
KRT19,KRT10,0
MPHOSPH8,SEC31A,0
GDF7,KHK,0
ABHD6,CDK6,0
SRCAP,MYF6,1
SLC25A4,PHKG2,1
MBP,MAP4K2,1
OLFM1,SSX2IP,0
PTN,ZBTB33,0
AQP9,SCTR,1
TMED1,PTHLH,1
PCDHA6,CLDN1,1
PAK1,LHCGR,0
METTL23,FNTB,0
MAN1B1,SDHAF1,0
PRPF8,EN1,0
CHGA,ERAP2,1
SLC39A14,SERTAD1,0
GREM1,NELFA,1
DDAH1,CYSLTR1,0
LY96,KLRC3,1
KRTAP29-1,NRBF2,0
KTN1,TIGIT,0
OR10J1,RASD1,1
AVPR1B,PTGER3,1
LTB4R,MC3R,1
MPL,FZD3,1
OPRM1,BTG1,1
LINS1,UBE2S,0
DISC1,SLC25A13,0
LCN1,SLAMF1,1
DHDDS,NR1H3,0
KBTBD13,RRP1B,0
F2RL2,KRTAP15-1,0
ANGPTL4,CD74,1
TGFB2,ZYX,1
KRT13,PTHLH,1
PDE6D,RP1,1
NOP58,H1F0,0
SGOL1,DCDC2,0
KRTAP10-5,GTF2E2,0
SCTR,CCL17,1
PAX6,IMPG2,1
ANXA9,CTDSP2,0
HOXA10,BLNK,0
MYEF2,PSMC5,1
SERP1,EIF3K,0
GAS6,RAF1,1
ATR,HMGA2,1
CHD1,MTCH2,0
ZP4,SENP8,0
TENM1,RRAGC,0
TCF25,IGHV3-13,0
ATXN3,SLC1A3,1
CDH16,CCL5,1
NAPRT,BCL2L10,0
TMEM74,POLR2G,0
CIZ1,HDAC9,1
FCGR1A,IL6ST,1
DBP,DEK,1
OSBPL9,STRA6,0
IGF1R,TGM3,1
PITPNB,DUSP2,0
KCNF1,KCNJ10,1
TGIF1,CHST2,1
NDRG1,ATAD3B,0
COL2A1,COL19A1,1
VNN3,TRAM1,0
OLFM1,CYP46A1,1
IGHV2-5,KIR2DS1,0
MEF2A,KRT31,0
DNM1L,TNFRSF17,1
RASGRP4,REG1B,1
PTTG1,CDY2A,1
DBNL,PRKACA,0
TIMM8A,GJB1,1
LRPPRC,LRRC26,0
FKRP,PDE10A,0
TTK,ARHGEF1,1
ERCC2,CASP4,1
HAAO,IFNLR1,0
LEAP2,INF2,0
THEG,TSPY1,1
PROP1,TTLL5,0
ADORA1,PCSK2,1
AMH,CDKL2,1
RAF1,CD81,1
PLAT,RPN2,1
NNT,AHCY,0
OR51D1,ATP2B4,0
GHSR,TAS2R1,1
INHA,FURIN,1
LTB4R,MEFV,1
SARS2,IGKV1-39,0
CHRM1,ST8SIA4,1
MTIF3,HRH2,0
MMP12,CASP8,1
LRRC15,CHRM2,0
SHC2,CTSE,0
RADIL,NOMO2,0
EMG1,POLR1D,0
WASH1,THUMPD1,0
CTRL,MMP9,1
TPCN1,CNIH1,0
IL4R,SDS,0
CD160,STC1,1
MSL3,GTF2B,1
CD300LD,UCKL1,0
METAP1D,ABCD4,0
GPR1,PTAFR,1
ZNF350,NANOG,1
FMO3,ANKRD1,0
PTPRF,TRIO,1
BPTF,SMARCA1,1
TAF1L,FOSL1,1
ZSWIM7,MRM1,0
C6orf89,SLC6A8,0
OR7D2,ARID2,0
OR5P3,NA,0
SIGLEC15,ING2,0
TNNI1,CHRNA5,0
TLN1,ADGRG3,0
GJB1,STC2,1
SOCS4,BRINP1,0
MAP4K5,BLK,1
HOXA4,LZTR1,1
TMC2,SSTR5,0
TRIM38,RPL17,1
RABGGTB,RS1,1
POU6F2,GNAT1,1
LY6G5C,CENPA,0
PHLDA3,CRTC1,0
MICAL1,FABP2,0
MST1R,FOXN1,1
ARHGEF25,TGIF1,0
VPS8,TICAM2,0
AMZ2,OR6K6,0
AANAT,GPAM,0
GALNT5,SPIB,0
JUND,MYCN,1
NFAT5,KDM5A,1
CASP9,ABI2,0
NLGN3,COQ2,0
SESN2,PRDM4,0
SLC25A17,OR4A5,0
ENC1,RECQL4,1
CDK7,IRF2,1
CXCL10,CD40,1
XK,SLC7A7,1
JSRP1,MAD2L2,0
XYLT1,PPIP5K2,0
CXXC1,ZNF146,1
BLNK,SCG2,1
HBE1,ACSL5,0
STK36,BACE2,0
UBR2,KCNC1,0
TMEM100,FOXJ1,0
MAP3K11,BUB3,1
ACKR4,RGS1,1
MME,PLAT,1
DUSP5,FLT4,0
GNL1,NEK10,0
SLC26A1,RBMY1C,0
ALDH7A1,SLC26A4,1
CEPT1,LCE3D,0
CSF3R,OR4K13,0
LOC344967,WBP11,0
ADH1A,LRR1,0
WBP11,KIFC3,0
SLC5A9,TRIM40,0
PTGR2,DUSP13,0
SMARCE1,TBX1,1
CCT8L2,STX8,1
ADAM17,OR52R1,0
USH1C,PYY,0
AKAP3,CCR6,1
PCDHA6,KCNRG,0
HEBP2,BMP10,0
SEMA3C,WAS,1
TRIM16,SOX18,0
SELE,TPST1,1
CDK13,CCKBR,1
CD320,CSF2,0
PDHA2,NCOA7,0
IFNGR2,CCL4,1
MARCH1,SLC36A1,0
RAB10,CARF,0
PANK1,PQBP1,0
MS4A2,CDC27,1
SEMA4F,SSTR1,1
CPA3,AP2B1,0
OR11H4,NODAL,0
MORF4,TPRA1,1
SMG9,ICE1,0
HMGB1,XRCC2,1
CHRM3,APLNR,1
ERCC8,SERGEF,0
PRKCZ,BIRC6,1
IGSF1,FEZ1,1
BPIFA2,MIR345,0
POLR2F,POLR2L,1
NFKB1,MYEF2,1
POU6F2,POLR2I,1
HTR1E,KCNN1,1
FYB,TNFRSF14,1
GATA6,SGCE,1
COL4A3,TNFSF8,1
CCL21,IL32,1
CIB1,ACTN2,1
TMEM2,MIR19B1,0
GABRR2,GRIK4,1
TMCC1,FZD2,0
WASF3,TCAP,1
RPL10A,SALL1,1
ANXA11,SRPX2,0
CRBN,SNX11,0
SLC24A2,OR5M8,0
CHRM3,MNAT1,1
DEDD2,RAB39B,0
EP300,BNIP2,1
TNIP1,CD48,1
MPHOSPH8,EPRS,0
OR51A7,OR10T2,0
TREX2,NHLRC3,0
CLK1,EHF,1
DNPH1,INSIG1,1
BATF3,CCNK,1
C8orf44-SGK3,SLC37A4,0
FSCN2,CLTCL1,1
UBE2N,VAPA,1
EPB41L2,IRAK4,0
CYSLTR1,PRKCZ,0
PRDM4,RAF1,1
GAD2,NID1,0
UTS2,PCDHB16,1
NME2,TMF1,1
OR10J1,SPHK1,1
KCNE5,CEBPB,0
LGI4,SALL1,0
FGF11,MME,1
TEX19,ZFYVE27,0
SLCO1B1,TOP3A,0
TCIRG1,VEGFC,1
MAP4,ADK,0
GRB10,LHB,1
CCNK,CDK5R2,1
FICD,WNT10A,0
SNRPC,SRSF11,1
PLCL1,TREM1,1
MSN,LTBR,0
SLC25A38,CEBPA,0
NDUFA11,ASCL2,0
POLR2L,CCNT1,1
ATXN3,FEZ1,1
GRB14,MMP13,0
IL7R,TCF12,1
BTG1,GATA5,0
KLK7,CALCRL,0
COL9A1,ENG,1
FANCF,AGL,0
TMEM8C,KPNA3,0
CBFA2T2,BUB3,1
TMEM181,GLI2,0
ART3,LARP4,0
SLC25A29,NELL1,0
KPNA7,NRTN,0
ADORA1,S1PR3,1
UHRF1,ZFP36L2,1
MFAP2,COL2A1,0
NPM2,BNIP3,1
AK9,EXOSC10,0
TSPY1,LGI1,1
DEFB4A,MAP4K2,1
PNPLA6,DIS3L,0
PSME1,MGAT4A,0
CRH,RLN2,1
RGS4,CHRM1,0
GNPDA1,DSTYK,0
CASP14,STS,1
FGF4,IK,1
KRTAP9-2,CIT,0
SCNN1D,SHANK2,0
FOXA2,ATP6V0D2,0
RDH10,OR9Q1,0
MPPED2,ABCA13,0
NOP2,POU3F2,1
YTHDC2,OR8K3,0
MGP,OR5W2,0
AASS,APBA3,0
XIAP,MZT1,0
OR7A10,MIRLET7F2,0
MAF,TAF6L,0
JAK2,PCGF6,1
CHRNA3,SIAH2,0
CHMP3,ZC3H3,0
CDX2,NFE2L3,1
NINL,RPL26,0
CDK2AP2,VENTX,0
EP300,MARK4,1
DBF4,ANAPC4,1
CYP46A1,NRGN,1
TRDN,MYOF,1
SEMA4F,AMH,1
POU3F2,TSHR,1
SAXO1,TRMT10C,0
LZTS1,SRR,0
PMPCA,NUP62,0
ARSE,ADAMTS4,1
GJB2,CCL21,1
TAGLN3,NDUFA8,0
EME1,REG1A,0
ACSL3,TAS2R20,0
LLGL1,RSPH4A,0
CTNNBL1,EXTL1,0
DAXX,RAF1,1
CCDC47,MGAT4B,0
AGPAT2,CD160,0
YKT6,RBM25,0
CCL25,GPR52,1
CLCN2,PSG4,0
SZT2,MT1X,0
GMPPB,NRDC,0
GPR39,C3AR1,1
PTPN6,TP53,1
GRIK1,DOC2A,1
TFAM,UBTF,1
ADAM29,ALMS1,0
LAMA4,COMMD1,0
PREP,ENDOU,1
TMEM8B,MAGEA10-MAGEA5,0
CLEC2D,IL13RA1,1
CACNG2,YAP1,0
TIMM22,HPS1,0
MME,MMP14,1
CHGA,ACVRL1,1
EPS8L1,SEPT9,0
CLTA,TNFRSF1A,0
FXN,HTR1D,1
FRK,UMOD,1
GRIK4,HTR2A,1
TRAPPC1,E2F4,0
CEP126,CRYBA1,0
IL10RB,OPRK1,1
DDIAS,OR52E4,0
ATOH7,TMEM126B,0
BEX3,CCL17,1
GPR32,GPR35,1
TAS2R41,LARP1,0
WWP1,TPM1,0
NDUFA9,ENG,0
CDX2,NCOR1,1
GCG,GPER1,1
NFKB1,TRIP4,1
EFNB2,ECE2,1
C14orf166,IL17RA,0
GPR176,CRHR1,1
CTSG,CTSO,1
MRPS27,PIK3R5,0
ENO1,RYBP,1
TRAIP,UBE2V2,1
SETD2,RAB3GAP2,0
ABT1,PAX2,1
NUDT9,EGLN3,0
CSNK1E,WNT9A,0
IKBKAP,CD22,1
MSN,WASL,1
DUSP7,ARNTL,0
CCDC69,HBG1,0
CCL26,RPRD1A,0
RGCC,DDT,0
KRTAP10-7,CBX5,0
TYMP,KLK14,0
TACSTD2,IL27RA,1
TCF19,WEE1,1
CNTNAP2,SPINK6,0
ADRA1D,GPR19,1
PRSS2,XPNPEP1,1
CDC40,GEMIN2,1
ATM,RAD21,1
LIMK1,KLRG1,0
TAT,DIS3L,0
MLXIPL,PTBP3,1
RHOXF1,EEF1D,0
IGKV5-2,HAUS4,0
VCAN,ACTN2,1
BTN3A1,ACOT7,1
CXCR1,TBXA2R,1
IL4R,ZEB1,1
ATP10D,POM121C,0
DSPP,DLK1,1
CLU,HIST2H2BE,0
RBM38,SNRNP27,0
DNM1L,IL13,0
NEDD4L,REEP3,0
ATP5E,PROM2,0
C1QC,ALB,0
EXTL3,KIAA1161,0
CENPC,MIS18BP1,0
ZFHX3,NMI,1
IL15,DPP8,1
RPS11,RPS27,1
YAP1,AZU1,0
SLC13A4,MMD2,0
TDGF1,FARS2,0
EXT1,RPS6KA3,1
AES,RECQL4,1
CDX2,NKX3-2,1
FRS3,KRT86,0
PLEKHM2,MIR345,0
MLNR,AKAP12,1
PGC,C9orf3,1
SEC61G,RBM22,0
LAMP1,VPS36,0
PAX5,ADAMTS9,1
BRAT1,FBXO41,0
TYW5,DPP4,0
MT1X,PYCR2,0
ADRA1D,HLX,1
PPCDC,NUPL2,0
LDOC1,MSH3,0
RAB39B,ESYT3,0
IL1RAP,CXCR1,1
POLE4,MARCH6,0
RNF152,COPA,0
ARID2,AGXT,0
MAGEC2,LTC4S,0
SERPINF1,PGLYRP2,0
BMP1,CASP4,1
SCD5,LYVE1,0
MIRLET7I,FRAT2,0
LYVE1,SERPINB5,1
HABP2,ITGAM,1
BRINP1,RLF,0
LSG1,ADORA1,0
ARSB,CYP24A1,0
OXA1L,SLC25A14,1
CNTN4,LIMK1,1
PITX2,NANOG,1
CTRL,PMPCA,1
GATA5,POLA1,0
KHDRBS1,SIPA1,1
OR10J5,RBSN,0
ACHE,DDR2,1
FES,PDCD1,1
VPS8,MGMT,0
